country,city,is_active,gender,birth_date,salary,has_children,family_status,registration_date,organization_id
Yemen,"Port Jeffreyville",true,female,2011-06-09,134794,false,divorced,2022-02-18,1
Argentina,"New Mavisport",true,male,2007-02-02,146659,false,divorced,2023-11-20,1
Kuwait,Mosciskifurt,true,male,2001-06-29,97232,true,divorced,2023-08-25,1
Kuwait,Toneychester,true,male,2007-09-10,128726,false,single,2023-11-21,1
Malta,"New Treverchester",true,female,1999-05-16,75881,false,divorced,2024-06-22,1
Kiribati,Paulineborough,false,male,2007-12-22,34868,false,married,2022-11-03,1
Guyana,Wisokyland,true,male,2005-01-25,104423,true,divorced,2022-08-27,1
"Palestinian Territories","Lake Josefina",true,male,2012-07-28,96710,false,single,2023-09-08,1
Canada,"North Felipemouth",true,female,2015-03-01,142964,true,divorced,2024-12-06,1
Fiji,"East Adelaview",false,female,2015-03-11,87625,true,divorced,2023-10-20,1
"French Polynesia","West Reganland",true,male,2000-09-29,46546,false,single,2025-10-25,1
Armenia,Blancahaven,true,female,2006-09-14,121329,true,married,2022-02-18,1
Oman,Gennaroborough,true,male,2002-04-18,22739,true,divorced,2024-12-25,1
Mongolia,Langoshfort,false,male,2009-09-27,70650,false,divorced,2026-05-02,1
Myanmar,"Port Leon",true,male,2014-02-26,23607,false,single,2024-10-31,1
Greece,"South Veda",true,female,2008-11-30,25814,false,single,2024-04-14,1
"Western Sahara","Lake Fredchester",true,female,1997-04-17,72306,false,single,2022-08-13,1
